KO	11B-T1-3	11B-T1-6	11B-T1-9	8-T1-3	8-T1-6	8-T1-9	Ex45-T1-3	Ex45-T1-6	Ex45-T1-9	HP-T1-3	HP-T1-6	HP-T1-9	RC-T1-3	RC-T1-6	RC-T1-9	RP-T1-3	RP-T1-6	RP-T1-9	SC-T1-3	SC-T1-6	SC-T1-9	UAB-T1-3	UAB-T1-6	UAB-T1-9
K06903	201	284	301	259	273	587	181	325	200	320	591	637	164	149	143	1240	713	429	359	369	259	199	651	365
K06904	262	198	167	134	98	161	133	124	58	156	391	703	115	146	69	743	448	275	214	86	243	99	418	242
K06905	65	174	290	230	216	489	173	343	81	60	718	674	138	160	184	733	304	397	617	320	125	106	613	459
K06906	10	31	66	14	5	13	34	46	0	0	0	0	0	0	0	0	0	0	17	17	4	25	46	46
K06907	934	1369	1069	1176	1001	2647	744	1205	1028	1756	2855	2564	705	651	906	6435	2534	1860	1389	1627	794	1055	2628	1415
K06908	9	34	50	19	5	18	33	44	0	0	6	0	0	0	0	0	0	0	19	24	3	28	58	33
K06909	4	175	10	5	6	134	40	63	6	58	402	185	3	10	139	499	130	21	150	155	154	16	10	12
K06911	4856	4634	2804	3733	2074	4151	2786	2617	2052	5872	6951	8243	2901	2040	2434	11528	13822	7776	4533	3297	2504	3010	10152	5447
K06912	125	171	240	137	71	177	179	185	39	93	69	82	196	95	144	200	215	110	173	217	147	97	296	173
K06913	0	2	1	1	3	4	8	4	1	9	19	49	0	2	33	83	2	4	0	3	3	21	43	3
K06914	0	10	2	3	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	20	3
K06915	5277	4610	2921	3784	1845	4342	2633	2812	2672	5245	8607	9625	2646	2159	1794	15816	11653	6816	4687	3051	2622	3096	10586	4909
K06916	226	131	57	94	19	74	132	84	37	83	88	199	30	14	50	354	352	161	250	93	73	48	458	165
K06917	51	22	6	17	3	11	7	7	16	14	382	103	8	5	14	319	302	104	59	1	5	8	72	55
K06918	495	274	169	215	54	213	186	211	175	309	290	311	173	128	138	749	632	276	326	265	162	138	584	246
K06919	36	270	130	153	27	160	174	273	247	292	1394	277	37	20	8	2747	666	641	832	517	698	278	856	101
K06920	301	579	510	586	300	934	351	550	641	711	1470	1239	345	176	470	2876	784	559	570	757	769	313	971	424
K06921	108	193	64	134	37	178	54	84	157	726	1705	2398	932	329	261	3768	657	535	438	185	354	170	476	247
K06922	77	66	33	56	21	236	37	42	37	111	290	349	13	32	17	1423	994	760	370	473	131	38	105	77
K06923	581	392	322	384	175	435	564	558	741	1079	1295	812	323	220	346	4259	1054	1057	795	827	1208	460	1102	506
K06924	30	66	28	104	17	124	315	232	366	609	561	288	0	0	0	3415	379	651	168	445	813	277	224	120
K06925	1074	1182	662	1016	437	1058	865	981	561	2255	2282	2921	684	645	599	6087	4196	2789	1547	1148	1164	992	2722	1478
K06926	0	6	0	0	1	111	12	34	0	0	428	42	312	32	320	83	3	12	29	2	3	33	45	1
K06927	21	47	113	35	48	206	44	96	181	134	102	29	0	1	0	580	30	59	48	161	204	52	66	62
K06928	0	2	2	2	0	1	0	2	4	0	45	0	0	0	0	0	1	1	74	36	49	0	4	3
K06929	1242	1094	946	997	578	1227	881	1070	928	2192	1846	2204	848	682	639	6138	3392	2287	1698	1283	1422	976	2241	1248
K06932	20	79	226	39	88	170	42	136	437	297	213	38	0	0	0	787	5	156	95	184	288	77	40	23
K06934	15	73	78	58	35	71	107	139	59	527	295	286	9	37	195	1792	273	242	207	232	294	103	147	92
K06936	0	9	26	0	20	1	73	37	0	29	0	0	148	15	85	14	0	1	0	2	0	0	0	0
K06937	802	1574	1252	1356	853	3953	1047	1714	2246	1381	2698	3213	380	307	1166	4968	882	1013	1165	2410	1859	1037	2375	1493
K06938	141	57	24	52	13	36	32	25	25	32	45	51	26	15	29	114	102	33	64	32	24	39	155	79
K06940	249	470	550	494	328	1275	456	655	794	719	821	217	480	171	383	1611	400	402	557	886	796	363	680	450
K06941	5462	5246	3375	4751	2572	4838	3709	3626	3038	6933	7668	8707	3814	2928	3034	17490	12992	8437	5913	3923	3844	3844	10575	5469
K06942	1684	1194	508	1271	463	863	962	698	735	1892	1516	1930	680	949	369	5247	4280	2853	1644	882	672	823	2926	1597
K06944	15	117	230	46	80	169	75	96	303	163	148	39	0	0	0	601	0	121	63	214	264	51	77	60
K06945	594	910	748	589	776	941	570	648	364	686	1170	735	1105	1038	768	1151	1651	943	1669	648	565	755	1205	635
K06946	2	0	22	5	22	6	0	1	1	2	597	8	180	10	113	1	20	3	1	0	0	2	2	4
K06949	2507	2280	1110	2085	899	1938	1594	1424	920	3758	4142	5874	1150	650	711	10288	9382	5416	2519	1469	1238	1824	6016	3035
K06950	62	165	185	157	89	205	278	259	437	589	375	429	29	18	5	2561	530	587	270	447	797	239	261	134
K06951	40	66	47	99	55	111	166	181	243	285	319	318	6	26	3	1805	302	341	304	360	587	170	132	79
K06952	442	287	152	220	113	167	190	248	164	252	272	221	206	115	226	471	372	227	384	193	153	173	547	244
K06953	513	308	254	277	104	297	248	224	358	428	668	440	277	89	203	1692	1021	486	384	260	293	233	798	340
K06954	76	32	29	23	86	39	10	7	5	6	5	1	285	661	377	65	6	4	115	7	1	14	34	15
K06956	5	1	1	0	0	0	0	0	1	0	3	6	0	1	0	2	2	41	2	0	0	0	0	0
K06958	2841	2985	1931	2673	1560	2977	2064	2193	1724	4053	4626	5811	1871	1564	1531	10138	7889	4946	3311	2297	2330	2178	6241	3268
K06959	1018	513	476	454	566	613	427	366	260	601	1216	593	1207	899	780	2471	1318	707	1825	329	259	484	1257	588
K06960	814	894	569	802	518	972	561	616	587	1350	1488	1834	581	469	508	3237	2087	1315	1018	715	774	678	1702	927
K06961	19	84	157	41	35	50	47	79	234	142	132	28	0	0	0	421	1	76	36	59	106	56	53	40
K06962	9	25	27	59	31	83	130	157	165	214	291	166	1	1	2	1210	177	208	161	250	411	97	81	29
K06963	4	52	99	35	51	71	34	70	179	136	82	27	0	0	0	305	1	59	21	81	125	22	34	23
K06965	3	50	219	20	67	98	45	89	242	242	109	29	0	0	0	654	6	129	75	165	244	63	30	25
K06967	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	18	10	7	0	0	0	0	0	0
K06968	47	29	21	13	3	13	21	12	8	184	132	101	6	8	39	762	441	188	29	19	12	14	63	38
K06969	186	226	246	413	183	542	417	427	273	802	551	732	181	49	539	4615	1058	844	656	660	624	268	523	268
K06971	70	281	211	114	120	351	186	289	200	452	793	494	228	121	151	1242	249	210	266	325	276	177	385	195
K06972	3	6	0	6	1	2	5	17	1	21	285	146	1	0	0	28	3	3	90	31	36	4	23	20
K06973	178	343	256	251	106	229	413	485	488	1170	795	877	135	34	105	4843	1158	808	477	645	1033	352	481	247
K06974	9	33	55	12	48	74	57	84	145	32	86	47	3	1	45	360	51	25	89	129	165	23	29	17
K06975	1182	850	356	753	202	594	659	472	334	1038	1070	1720	611	294	309	2715	3593	2090	846	458	469	567	2294	1073
K06976	1420	1404	737	1307	619	1900	905	1050	481	1753	1700	2421	829	640	592	4277	5233	3208	2147	1773	1154	1232	3715	2050
K06977	306	183	42	146	11	56	82	64	0	305	89	362	26	70	14	267	869	366	111	25	23	128	447	300
K06978	1284	1558	1337	1804	1273	2910	1580	2009	1063	5116	4759	4731	3158	2470	2434	13822	6347	4955	5698	3359	2992	1314	3315	1567
K06979	421	149	59	96	15	48	126	63	8	77	206	350	3	9	0	466	977	575	55	47	15	139	482	240
K06980	1365	1392	645	1049	538	887	1025	949	696	1691	2713	3863	1187	1096	975	6979	4943	3207	2269	975	1022	1085	3380	1733
K06981	9	76	205	18	60	104	90	110	200	150	130	49	107	1	80	835	140	140	69	158	246	88	37	25
K06982	12	144	261	70	80	182	106	190	272	232	185	34	0	0	0	607	7	108	74	206	262	77	95	63
K06983	0	0	0	0	0	0	10	4	3	23	12	31	0	2	0	247	93	31	13	25	16	5	2	1
K06984	28	39	14	27	12	16	51	48	36	52	42	55	32	35	16	218	5	45	135	68	79	58	224	43
K06985	502	345	148	222	89	366	244	219	87	229	1148	351	230	140	223	1264	984	419	501	186	194	200	793	330
K06986	39	177	292	56	78	160	70	180	65	48	22	18	192	74	164	276	49	43	307	216	276	83	87	69
K06987	1132	546	300	494	233	396	448	357	298	775	718	703	482	200	405	2416	1118	913	1274	345	367	304	1086	560
K06988	1383	1722	1146	1245	675	1483	1426	1555	634	2489	1902	2859	1274	1359	1059	6672	4575	2766	2371	1465	1790	1300	3939	2094
K06989	165	152	286	133	78	195	181	197	249	470	277	170	85	78	138	995	85	197	373	318	373	115	254	119
K06990	39	111	249	275	86	230	223	323	314	594	285	194	208	5	318	1109	220	202	152	478	347	107	223	103
K06991	154	264	148	182	150	362	109	93	71	80	380	108	269	173	138	191	83	49	286	129	90	157	350	246
K06992	13	77	123	70	14	26	35	63	17	30	52	9	1	4	1	222	10	32	23	71	35	24	90	45
K06994	12979	13805	8369	10800	6062	10672	8322	9355	6338	22224	24344	39130	12693	17359	7804	60185	54106	31373	13390	9573	11362	10513	26123	13875
K06995	157	123	13	34	46	72	58	27	27	48	117	277	169	169	120	311	404	112	121	20	18	23	529	319
K06996	2512	2787	1978	2520	1547	2528	2284	2584	1990	3905	4161	4756	1858	1818	2217	11678	7302	4819	4338	3245	3542	2508	6632	3448
K06997	1760	1747	1123	1499	770	1629	1189	1319	883	3020	3405	3846	1212	934	1033	8758	5414	3295	2391	1739	1724	1383	3756	1968
K06998	2147	2046	1200	1736	793	1912	1517	1484	1102	3007	3038	3929	1596	1103	961	8489	6136	3589	3207	1931	1925	1619	5212	2526
K06999	1968	1690	1278	1622	778	1621	1754	1865	1270	2847	3685	4470	709	521	663	10665	6440	4049	3032	2382	2739	1541	3704	1692
K07000	3	4	2	4	4	2	30	6	14	133	230	1	108	3	71	189	16	7	3	4	0	7	19	19
K07001	4604	3846	2922	3424	1668	3656	3459	3356	2890	7007	6036	7158	2898	2182	2065	21388	14353	9232	5042	3645	3619	2869	7583	3527
K07002	307	159	56	137	68	97	133	112	127	265	301	395	134	42	107	1114	444	344	137	61	52	82	581	230
K07003	64	252	303	782	231	271	419	159	34	1629	299	280	1630	987	1752	2295	568	457	887	303	210	76	389	65
K07004	2110	1433	644	724	617	1284	801	715	467	5615	3328	4191	1378	617	1006	11976	10446	6293	618	720	329	620	2063	991
K07005	1893	1556	953	1243	531	1281	1085	1309	683	2865	2790	3807	918	737	971	8198	6823	4075	2378	1839	1752	1160	3106	1676
K07006	1288	1060	720	783	654	866	894	762	477	952	1056	1624	1008	642	502	2754	3706	1868	1771	819	761	851	2888	1400
K07008	365	366	205	250	231	237	372	343	175	414	616	1168	321	310	154	1446	1512	786	773	329	479	392	612	283
K07009	694	1258	909	965	697	960	789	970	726	1481	1430	1340	1045	942	773	4291	1360	1246	2053	1236	1555	1131	1868	1174
K07010	1845	2115	1296	1890	1002	1841	1548	1607	1225	2961	3035	4049	1589	1782	1284	10541	4367	2715	2574	1873	2106	1896	4221	2419
K07012	5	142	3	5	25	104	2	10	4	30	964	50	59	40	188	1365	197	141	455	138	176	54	6	2
K07013	2	0	1	4	4	10	6	5	2	36	115	34	12	7	0	108	3	1	41	9	9	9	40	9
K07015	0	0	6	0	3	43	0	0	0	1	234	12	4	0	0	38	21	12	57	1	0	0	0	0
K07017	10	95	11	206	46	454	110	25	122	14	27	6	0	4	54	567	190	80	143	134	69	39	61	25
K07018	1175	1222	552	861	399	1110	663	661	395	1004	1489	1934	510	331	611	2682	3537	1751	862	670	447	694	2292	1249
K07019	31	16	8	212	6	5	9	5	11	251	107	85	4	12	8	753	212	108	82	17	2	12	26	44
K07020	824	622	323	582	363	454	349	393	183	1546	1420	2333	584	503	554	3364	2768	1708	981	288	269	424	1465	811
K07023	139	251	219	253	127	443	229	268	348	471	458	519	140	46	145	2320	916	494	379	403	350	176	288	159
K07024	0	0	0	0	0	0	0	0	0	0	265	1	0	0	0	0	0	0	2	0	0	0	0	0
K07025	809	1021	518	928	522	926	699	723	438	2995	3198	3842	854	822	783	9072	2835	1887	1659	1076	1323	822	1750	1071
K07026	2	28	21	10	3	21	5	6	54	263	9	0	0	0	0	33	4	15	3	4	0	4	9	5
K07027	1398	1219	879	1277	410	957	1771	1629	950	3168	2286	2723	1348	836	1313	15346	6382	3985	3816	2143	2305	1353	3415	1508
K07028	96	132	185	124	57	108	331	345	173	898	1066	568	86	0	1	2426	690	453	375	478	785	296	244	132
K07029	6034	5468	3451	4922	2512	5439	5039	4980	3961	11564	11297	16002	3068	2945	2439	36333	22199	14466	8203	6434	7261	4863	12796	6583
K07030	2613	2404	1434	2120	1347	2256	1905	1836	1513	4418	5095	7622	1632	1521	1285	13276	9552	6294	3824	2138	2639	2263	5271	2773
K07031	213	347	170	839	169	625	296	236	237	924	420	303	238	85	313	2060	521	416	637	647	539	276	530	343
K07032	2168	2199	1245	1758	771	1509	1392	1312	946	2503	2049	2926	687	807	580	4885	4430	2493	1936	1412	1496	1420	4865	2488
K07034	578	1211	951	836	837	801	731	892	193	235	129	216	1008	799	620	854	648	354	3826	886	1081	1087	1550	913
K07037	267	494	357	358	280	1062	625	611	955	2611	2319	1491	454	82	589	10339	1729	1806	952	1317	1368	503	802	461
K07038	859	760	476	849	308	993	879	814	759	1859	2133	2235	320	242	271	7337	3421	2085	1307	1211	1334	643	2214	905
K07039	208	387	507	219	105	263	324	443	147	62	86	123	128	61	71	168	223	132	359	584	218	190	503	286
K07040	2287	1867	1097	1735	843	1720	1262	1183	919	2889	3374	4688	1162	1088	926	8354	6420	3791	2488	1316	1364	1385	4294	2134
K07041	37	308	844	155	271	506	187	400	1138	1097	818	527	0	0	0	5934	419	982	251	658	920	285	211	175
K07042	2116	1807	1099	1632	685	1474	1207	1107	850	2622	2951	3997	1081	912	924	6733	5113	3210	2050	1416	1277	1316	3787	2019
K07043	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	7
K07044	184	226	135	106	244	207	84	57	47	305	702	650	593	297	336	753	990	455	400	69	44	102	358	134
K07045	2299	2441	1863	2097	1137	1729	2264	2261	1548	3789	3219	4468	2679	1890	1311	10992	6962	4449	4995	2745	3209	2341	5251	2509
K07046	706	486	423	407	145	269	416	453	193	877	602	655	290	181	417	2312	1486	907	1347	657	469	377	1158	562
K07048	265	161	144	138	116	120	111	143	45	582	431	987	358	271	171	2897	1761	1026	793	197	122	154	373	213
K07050	530	421	252	366	204	414	491	424	449	1421	877	830	188	80	62	3839	1476	1027	788	687	779	457	1080	481
K07051	360	389	310	244	154	296	458	432	524	681	771	561	50	69	98	1992	703	531	322	546	562	325	690	440
K07052	6034	7124	4189	6260	2297	4895	6549	7023	4838	10916	10390	12142	2756	1749	2242	40519	20864	14450	10386	7823	9087	6755	20280	10698
K07053	1849	2236	1317	2032	1311	2068	1382	1387	902	3354	4028	5002	1605	1695	1231	9697	6401	3970	3289	1544	1515	1709	4471	2382
K07054	4385	4007	2076	3364	1304	3065	3231	2681	1745	4175	6233	8129	1780	1362	1293	14715	13521	7692	3895	2669	2416	3014	10242	5071
K07056	2169	1895	1239	1663	1042	2032	1526	1610	1149	3705	3882	4814	1453	1225	1194	9824	6704	4068	2739	1740	2069	1663	4550	2218
K07057	2	1	5	4	16	40	11	1	1	98	0	0	0	1	32	4	9	0	3	39	0	2	1	0
K07058	13418	13799	9079	11551	5574	10824	10449	11094	6759	17807	18520	28384	7645	6464	5006	55386	42240	25206	17624	13760	12531	10644	30583	15777
K07059	0	0	0	0	0	0	0	1	0	4	29	4	0	0	0	1	0	0	0	0	0	0	0	0
K07060	10	58	86	12	42	57	35	82	83	73	77	19	0	0	0	250	0	51	24	82	139	36	25	14
K07061	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0
K07062	61	70	75	129	30	41	109	90	78	212	96	189	314	95	94	906	283	149	86	113	53	56	189	59
K07063	65	198	148	76	72	126	60	111	88	349	383	367	236	49	106	2673	798	542	233	205	193	41	126	67
K07064	228	249	285	418	128	218	405	239	185	918	679	1113	841	404	1030	5735	2213	1547	1110	500	593	153	651	375
K07065	46	75	85	179	84	114	166	148	154	756	375	592	402	15	358	2970	746	653	435	308	345	90	172	104
K07066	1	0	31	0	1	0	51	5	0	11	447	17	110	7	44	418	103	108	13	22	31	0	0	0
K07067	3259	3282	2048	2697	1367	2427	2123	2069	1488	4039	4316	6363	1325	1328	1192	8863	8380	5309	3214	2260	2582	2558	6324	3288
K07068	1599	895	669	503	306	611	467	555	498	1223	1735	1772	2114	1490	1687	5727	4009	3135	1646	775	726	538	1404	550
K07069	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	6	4	0	4	0	2	0	8	0
K07071	1437	1477	1048	1402	686	1887	1298	1182	1052	3137	3151	4089	1849	1531	1166	10684	7139	4560	2094	1631	1592	1183	4070	1885
K07072	22	55	30	19	24	35	55	83	27	58	109	42	70	42	34	152	13	75	143	89	49	28	133	24
K07074	138	154	114	103	38	110	155	206	197	194	534	400	151	54	139	631	519	367	355	183	228	87	313	116
K07075	151	127	162	245	43	117	181	161	93	813	922	554	335	32	267	3269	1179	686	306	189	209	78	291	268
K07076	36	63	102	124	141	93	103	54	55	374	300	277	472	168	550	2226	470	510	216	145	121	20	158	57
K07077	1612	1260	686	1155	563	884	921	638	531	685	1275	1954	1378	976	1113	3057	5211	3052	1659	597	381	770	3163	1402
K07079	48	153	150	105	74	276	69	157	68	112	1374	92	269	76	350	1683	345	254	177	215	201	102	280	121
K07080	2207	1341	906	1238	379	1237	1519	1409	1149	3405	2088	2098	709	479	1046	8498	3517	2343	1613	1481	1375	1029	3984	1725
K07082	3614	3015	1659	2713	1203	2571	2126	2201	1648	5266	6226	7608	2083	1884	1607	16382	11028	6755	4171	2605	2693	2300	7093	3673
K07084	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07085	128	5	2	0	0	2	0	2	1	7	383	11	4	22	1	533	377	290	0	0	0	0	1	0
K07086	43	20	8	8	0	1	5	3	2	29	980	264	33	39	32	378	427	152	55	8	4	0	2	5
K07089	292	956	778	729	769	955	472	944	117	635	1363	1760	1522	1387	990	3143	1023	588	2589	1300	1258	999	1677	1009
K07090	9447	8070	4533	7320	2559	6331	6892	6320	5656	13848	14009	19662	3755	3577	3693	41339	31156	19260	10174	8188	9462	6694	19758	9828
K07091	435	351	198	683	166	466	304	197	114	699	466	489	406	74	447	2549	1005	521	422	469	153	119	568	254
K07092	60	17	28	49	24	45	26	43	27	309	391	382	33	17	1	450	125	78	113	103	114	33	108	87
K07093	1686	473	184	612	418	627	603	342	968	5820	8566	10983	42	97	197	15642	12395	7367	694	471	633	532	2646	1023
K07095	1092	1139	692	1034	561	935	791	921	504	1924	1937	2609	739	680	430	5554	3811	2464	1564	954	930	937	2289	1271
K07096	861	1421	1195	1413	1133	1518	1084	1422	1104	2624	2872	3539	1512	1901	833	10218	2919	2301	2964	2145	2654	1429	1777	1016
K07097	14	136	389	43	111	223	128	195	380	265	291	75	1	0	0	944	23	145	152	274	422	105	112	78
K07098	2512	2276	1377	2407	1006	2863	1992	2160	1575	3969	4584	5661	1352	873	1260	12950	10230	5992	3365	2490	2320	1918	6401	3079
K07099	0	1	0	1	0	13	0	0	0	4	2	3	0	0	0	327	138	47	57	0	0	0	2	1
K07100	775	955	1042	951	705	972	1297	1397	1612	3190	3039	3359	405	306	448	10421	3501	2916	2489	2349	3146	1193	2205	1069
K07101	225	269	144	224	73	188	210	257	52	164	414	256	191	173	115	821	763	401	202	176	114	149	1013	371
K07102	1153	684	342	636	159	775	457	442	397	680	862	727	581	254	617	2836	1413	761	666	616	411	353	1466	620
K07104	2046	2351	1792	1928	1093	1932	1934	2167	1811	3987	4231	5733	911	830	892	12815	6550	4578	4062	2978	3699	2086	3727	2114
K07106	521	502	227	479	294	760	327	381	374	1547	951	864	406	344	407	3559	1334	854	1056	466	532	343	735	425
K07107	3791	3457	1898	3030	1343	3122	2403	2312	1836	4607	4556	5317	1538	1135	1275	11721	9261	5859	3967	2942	3140	2545	7493	3928
K07108	6	56	76	30	35	55	42	44	166	80	85	17	0	1	0	211	0	42	33	98	143	42	50	25
K07110	0	0	1	0	2	1	0	1	0	0	0	0	220	153	108	0	1	0	1	1	1	0	1	0
K07112	455	403	255	354	239	293	246	305	338	1054	911	1336	305	185	221	3663	1513	986	854	445	406	274	696	361
K07113	657	685	339	598	275	463	447	482	240	1033	1218	1838	313	400	161	2268	2432	1427	786	402	351	484	1648	943
K07114	1918	2574	1557	2860	1564	5424	2352	2535	1924	5521	7177	8506	1613	1107	1910	21032	10446	6314	3237	4568	2661	1964	5675	2657
K07115	341	169	136	196	63	139	182	121	82	164	217	177	167	105	225	318	362	194	268	178	135	111	544	240
K07116	565	162	140	269	74	888	94	97	116	1013	1655	728	331	73	354	5655	2493	1834	1138	209	74	93	185	159
K07117	29	13	6	7	7	15	9	17	7	34	77	88	5	14	5	289	148	59	22	7	7	11	33	19
K07118	241	229	60	196	60	93	202	165	61	316	84	126	291	238	175	1415	588	560	428	164	177	145	531	345
K07120	1572	1164	594	1092	336	809	1175	963	863	1395	912	1493	219	188	396	4871	2149	1533	1128	1040	1410	977	3093	1377
K07121	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
K07122	1	4	0	1	0	0	4	1	0	0	0	0	5	0	5	0	0	0	0	0	0	3	19	5
K07123	60	57	87	54	239	168	32	54	13	233	163	116	173	172	90	52	48	20	349	110	71	79	137	43
K07124	2628	1801	1068	1696	898	1768	1226	1232	614	2194	2929	3880	1506	1420	928	6909	7341	4267	2946	1314	1029	1310	4951	2554
K07126	1885	832	580	752	389	563	817	706	382	696	950	902	671	285	634	3579	2063	1122	1476	668	378	849	2328	1143
K07127	558	536	303	448	213	513	424	437	272	990	693	900	298	259	281	2724	1388	876	681	597	567	344	1382	631
K07130	929	1784	1494	1544	596	1773	1882	1953	1831	3170	2342	2085	611	366	566	9021	3941	3053	2376	2710	3297	1779	3087	1682
K07131	476	644	532	437	551	825	483	561	385	878	1194	830	1068	975	541	2569	1475	1057	1534	653	775	746	1087	556
K07133	10	139	62	34	62	69	5	59	64	751	419	254	907	707	478	2260	274	374	254	34	20	19	116	99
K07136	49	21	2	7	0	13	9	1	2	7	114	15	50	39	20	55	67	11	11	5	1	2	88	7
K07137	262	213	211	164	80	106	131	121	43	100	245	118	383	135	282	609	608	233	188	144	91	96	834	252
K07138	0	0	1	0	1	0	1	3	10	0	3	13	0	0	0	2	1	2	0	34	4	1	0	0
K07140	110	50	61	57	104	203	60	112	160	204	197	178	87	52	42	1523	383	459	591	161	294	72	103	61
K07141	1298	1092	614	825	500	1087	896	920	778	2261	1621	2021	638	434	721	7115	3387	2358	1511	1227	1309	844	2581	1222
K07142	6	43	128	19	40	91	42	84	257	152	130	37	0	0	0	365	0	73	55	122	194	41	30	21
K07143	2	22	79	10	35	48	25	29	60	78	56	2	0	0	0	157	0	37	19	59	110	15	6	11
K07144	17	44	61	48	45	34	60	57	16	49	11	26	25	11	18	56	14	47	91	52	47	48	126	38
K07145	18	26	15	21	5	17	55	94	19	71	46	62	0	0	0	462	47	50	56	78	115	68	58	24
K07146	407	53	6	77	14	91	53	35	19	62	420	192	78	39	104	247	474	277	70	13	18	31	417	163
K07147	947	925	811	866	668	1395	769	856	663	572	1051	712	435	369	615	3646	1336	723	1591	1194	1054	582	1795	876
K07148	1003	605	419	569	324	571	1067	809	305	1071	1655	1869	222	127	159	4908	5151	2900	850	409	368	561	2276	631
K07149	1156	954	361	584	159	429	550	461	154	1573	1468	2562	371	242	184	3110	4878	2661	748	297	250	732	2183	1173
K07150	753	594	252	451	96	311	318	310	288	1650	1288	1900	32	83	39	5022	2923	1907	401	331	425	445	1150	770
K07151	38	259	528	148	227	298	99	243	417	400	253	38	0	0	0	1292	1	209	152	361	401	186	174	132
K07152	1876	1740	1324	1488	1261	3213	1028	1312	1153	2774	2000	2854	1994	1054	1809	7930	6333	3334	2555	1678	865	826	3203	1720
K07153	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	2	0	0	0	0	0	0	0
K07154	67	149	60	224	82	551	20	43	23	132	249	336	227	525	282	805	632	446	44	57	3	24	445	213
K07155	324	435	249	400	176	297	409	366	259	410	189	294	189	152	47	1216	350	379	393	359	612	351	1053	406
K07156	627	811	419	552	221	359	445	576	385	1273	1344	1811	383	159	212	5409	2703	1759	756	398	463	653	1820	1031
K07157	1263	1040	594	949	363	945	958	739	554	1646	2063	2877	595	522	624	6619	4284	2628	1392	939	954	824	2564	1189
K07158	2	29	93	10	29	70	37	37	90	58	16	8	0	0	0	120	0	30	24	71	117	25	12	5
K07159	11	105	279	56	161	251	109	173	486	400	324	62	0	0	0	1002	2	209	97	255	456	102	65	29
K07160	1903	1322	752	1268	411	886	1217	956	784	1830	1834	2905	677	526	427	6855	5697	3441	1519	820	759	1097	3921	1968
K07161	4760	4365	2902	3504	2125	3518	3254	3034	2508	6595	6043	9844	3231	3081	2849	17057	14589	8660	5429	3467	3686	3427	8500	3982
K07164	1455	1176	586	1156	569	1354	921	830	536	1836	2011	3402	904	700	691	4648	5116	3091	1510	1044	784	888	3256	1651
K07165	145	87	99	216	140	659	201	163	250	167	368	642	603	128	804	1348	564	209	335	462	100	43	185	79
K07166	4	64	16	35	43	239	44	115	128	13	15	0	5	5	29	74	3	17	64	153	103	54	92	71
K07167	18	8	16	15	25	121	12	43	65	103	22	31	110	33	110	128	27	23	35	108	11	12	57	16
K07168	202	144	66	88	25	56	145	118	40	152	392	155	43	32	2	495	518	224	196	125	180	63	646	176
K07171	464	393	302	372	97	489	353	397	195	822	994	1978	805	322	556	4211	2805	1779	594	585	600	295	1483	691
K07172	37	24	26	15	5	58	23	17	22	28	34	50	43	5	15	341	96	52	55	15	17	15	54	24
K07173	19	3	1	1	0	0	0	0	0	17	16	8	0	0	0	47	48	29	1	0	0	0	0	0
K07175	2447	1826	1058	1679	871	1333	1287	1130	653	2620	2533	4945	1431	1178	826	4235	6734	4432	2146	859	625	1215	4372	2226
K07176	5	95	179	33	54	83	67	94	142	104	129	26	0	0	0	419	0	62	49	171	252	46	63	33
K07177	1713	1427	716	1126	581	872	942	847	340	2581	2940	4818	936	677	422	5274	6893	4013	1934	970	1007	1088	3786	2013
K07178	821	592	371	320	273	321	309	293	271	976	626	698	216	236	126	2256	1528	1207	574	332	421	402	1151	740
K07179	7	76	233	14	87	106	16	66	107	5	8	0	0	0	0	1	0	2	58	22	38	59	30	20
K07180	1230	1288	799	872	533	1974	922	1093	1101	773	843	686	506	415	663	3438	1232	966	1476	1667	1169	766	2328	1318
K07181	611	1076	758	777	485	682	612	625	127	796	797	859	515	515	301	1954	1521	990	1047	338	243	844	2275	1249
K07182	815	807	556	825	306	580	774	685	320	915	795	1601	486	454	457	5762	5325	3102	777	516	365	596	2187	1111
K07183	47	26	16	20	11	21	20	9	16	47	39	64	116	92	120	166	181	111	17	10	17	12	191	39
K07190	0	0	0	0	0	0	0	0	0	0	959	10	0	0	0	0	0	0	3	1	5	0	0	3
K07192	1510	996	902	849	634	1314	888	804	861	1475	2894	2726	1276	848	955	6591	3517	2638	1613	1053	1022	831	1895	918
K07213	1146	926	372	867	201	530	667	581	441	1335	1369	2114	107	217	84	4576	4122	2369	1032	637	764	700	2509	1276
K07214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0
K07215	411	214	110	258	31	149	294	193	162	221	314	459	106	47	14	1255	1390	737	240	172	166	206	1096	386
