KO	11B-T1-3	11B-T1-6	11B-T1-9	8-T1-3	8-T1-6	8-T1-9	Ex45-T1-3	Ex45-T1-6	Ex45-T1-9	HP-T1-3	HP-T1-6	HP-T1-9	RC-T1-3	RC-T1-6	RC-T1-9	RP-T1-3	RP-T1-6	RP-T1-9	SC-T1-3	SC-T1-6	SC-T1-9	UAB-T1-3	UAB-T1-6	UAB-T1-9
K19049	0	4	3	473	1	0	1	10	0	498	0	0	0	0	0	0	0	0	4	3	1	3	6	4
K19055	357	125	112	172	42	148	218	176	276	425	295	203	80	43	83	1048	265	358	280	377	468	165	332	190
K19058	0	1	0	0	0	18	0	0	0	1	3	31	0	0	0	10	20	0	23	2	6	1	0	0
K19064	220	221	52	421	88	525	98	182	135	385	326	199	194	18	7	1215	352	185	170	518	245	118	304	234
K19068	0	19	8	1	1	3	0	1	0	107	0	0	0	0	0	71	40	32	0	0	0	0	0	0
K19073	1	0	2	2	0	1	4	2	1	0	0	0	23	27	5	0	0	0	0	0	3	0	25	1
K19075	0	42	22	2	8	6	2	4	4	0	320	0	0	0	0	89	4	7	2	37	3	55	4	1
K19076	0	0	0	0	0	0	0	0	0	0	286	0	0	25	0	33	8	5	3	56	0	0	0	0
K19085	0	0	0	0	0	0	1	0	0	0	7	4	0	0	0	164	13	20	0	13	22	0	0	0
K19088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	32	41	0	0	0	0	0	0
K19090	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	45	8	45	0	32	1	0	0	0
K19091	1	0	0	0	0	15	0	0	0	6	130	12	0	0	0	227	41	24	15	50	54	0	5	1
K19092	105	231	109	273	16	162	135	125	48	390	387	185	209	63	280	1648	407	212	156	180	49	35	264	147
K19113	256	96	60	164	25	125	97	89	42	213	152	223	38	15	6	643	256	164	152	162	91	105	258	114
K19114	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	231	35	14	0	0	0	1	0	0
K19115	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	127	18	6	0	0	49	1	0	0
K19116	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	101	19	2	0	0	29	0	0	0
K19117	2	1	0	0	0	0	1	2	56	7	166	27	0	1	162	360	67	53	2	5	0	0	0	1
K19118	5	2	1	0	1	5	1	2	27	4	74	63	3	3	75	206	40	30	6	0	3	0	3	0
K19119	2	2	2	1	1	2	3	1	23	5	60	36	1	0	85	120	29	21	7	2	12	1	2	4
K19120	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	14	0	0	0
K19121	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0
K19122	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0
K19123	1	9	8	0	3	1	0	0	0	0	0	0	1	0	0	21	5	19	135	1	0	23	0	1
K19124	0	13	1	4	0	1	2	2	0	2	0	0	0	0	1	91	21	6	74	8	6	29	17	19
K19125	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	38	9	1	104	10	3	19	3	6
K19126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	4	6	93	0	0	0	0	0
K19131	2	2	4	3	5	61	2	1	6	18	36	7	0	1	29	189	18	18	130	52	86	1	4	3
K19132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	7	8	0	41	70	0	0	0
K19133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	12	2	0	0	0	0	0	0
K19134	0	0	0	0	0	0	0	0	0	0	0	0	137	1	90	0	0	0	0	2	0	0	0	0
K19136	0	1	1	1	1	44	0	1	1	0	0	0	0	0	0	64	8	1	146	47	1	2	1	0
K19139	0	0	0	0	1	0	0	0	0	0	0	0	38	26	0	0	0	0	0	0	15	0	0	0
K19140	0	0	0	0	0	0	0	0	0	0	0	0	18	10	1	18	9	2	0	0	0	0	0	0
K19141	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	13	5	3	0	23	0	0	0	0
K19142	0	0	0	0	0	0	0	10	0	0	345	0	0	20	0	0	0	0	0	38	0	1	0	0
K19144	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0
K19147	55	69	27	119	22	264	113	44	23	169	322	391	326	2	219	1654	738	317	166	238	13	16	147	82
K19155	0	3	1	0	0	0	5	7	0	0	19	41	0	0	0	259	12	4	30	18	2	0	1	0
K19156	19	66	67	80	8	26	55	37	6	232	238	488	124	95	119	1162	264	172	132	57	59	26	85	35
K19157	1	3	4	3	2	6	2	1	1	4	17	5	0	0	15	131	30	21	1	1	0	1	2	3
K19158	52	46	40	36	47	63	31	60	23	213	334	232	138	23	107	726	542	377	210	67	54	26	69	30
K19159	140	169	120	105	54	126	172	179	36	479	679	751	263	346	160	1695	1712	1099	453	197	110	104	484	189
K19163	27	5	9	7	1	9	12	3	6	4	13	0	35	6	0	37	8	8	12	12	2	3	32	9
K19164	31	12	6	13	3	7	14	3	2	13	106	314	37	3	0	60	38	20	8	0	3	7	50	22
K19165	3	10	21	13	29	18	5	3	46	62	54	37	68	29	132	272	120	74	22	46	12	12	13	14
K19166	25	18	0	2	2	51	1	6	2	7	236	9	0	6	11	246	64	52	20	39	16	4	22	18
K19168	58	16	2	13	8	4	5	3	4	5	19	64	1	8	0	21	90	108	4	2	1	3	18	7
K19169	13	44	7	250	128	184	19	7	8	23	911	160	3	5	3	717	164	80	45	11	5	12	30	9
K19170	8	121	4	10	80	7	7	15	17	7	682	137	5	1	18	194	59	51	120	4	5	3	56	11
K19171	6	97	1	1	101	2	4	5	2	2	893	11	0	0	0	96	50	119	213	11	9	0	38	6
K19172	0	35	0	1	9	1	0	1	0	10	112	22	1	0	0	32	9	35	31	0	0	0	5	1
K19175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0
K19176	1	27	2	45	4	189	1	8	9	55	298	548	0	2	4	49	7	7	11	7	5	4	17	8
K19181	44	80	29	15	5	24	12	26	10	37	123	121	33	24	10	198	221	74	48	15	19	6	56	15
K19185	0	0	0	0	0	0	0	0	0	0	3	17	0	0	0	2	35	10	0	0	0	0	0	0
K19186	0	0	0	0	0	0	0	0	1	1	2	7	0	0	0	0	24	10	0	1	0	1	1	1
K19189	91	106	76	50	16	30	123	208	40	21	71	76	15	40	89	130	286	162	171	82	150	116	272	92
K19200	397	320	197	217	216	179	124	136	67	604	255	532	264	318	168	1330	485	287	380	224	234	308	458	270
