Contig	11B-T1-3 Read Count	11B-T1-6 Read Count	11B-T1-9 Read Count	8-T1-3 Read Count	8-T1-6 Read Count	8-T1-9 Read Count	Ex45-T1-3 Read Count	Ex45-T1-6 Read Count	Ex45-T1-9 Read Count	HP-T1-3 Read Count	HP-T1-6 Read Count	HP-T1-9 Read Count	RC-T1-3 Read Count	RC-T1-6 Read Count	RC-T1-9 Read Count	RP-T1-3 Read Count	RP-T1-6 Read Count	RP-T1-9 Read Count	SC-T1-3 Read Count	SC-T1-6 Read Count	SC-T1-9 Read Count	UAB-T1-3 Read Count	UAB-T1-6 Read Count	UAB-T1-9 Read Count
HP-T1-9_k127_883720	11	10	5	7	8	17	15	6	16	79	1225	2878	4	4	7	99	22	38	16	21	11	6	17	8
HP-T1-9_k127_92795	7	7	7	5	2	7	2	2	3	7	502	2688	2	3	1	20	13	11	3	1	0	1	7	3
HP-T1-9_k127_434091	1	0	1	1	2	4	1	0	7	30	778	1968	1	0	1	44	10	14	4	4	11	1	5	0
HP-T1-9_k127_734840	1	0	0	0	0	0	0	0	0	2	676	2155	0	0	0	1	0	0	0	0	0	0	2	0
HP-T1-9_k127_916697	41	48	32	38	28	40	23	31	41	72	700	1929	19	24	28	141	77	67	68	42	54	25	86	60
HP-T1-9_k127_1031382	31	56	47	54	42	77	31	51	56	93	3813	11665	45	37	35	133	35	45	109	61	71	45	75	44
HP-T1-9_k127_1143222	2	0	0	0	0	0	0	0	0	15	4014	12289	0	0	0	3	0	0	0	0	0	0	0	0
HP-T1-9_k127_522045	111	160	85	112	38	97	122	123	47	154	284	1064	71	63	34	153	208	119	127	74	65	129	381	204
RC-T1-3_k127_317054	0	0	0	0	0	0	0	0	0	0	0	0	644	281	48	0	0	1	0	0	0	0	0	0
RC-T1-3_k127_40101	6	5	22	9	32	25	9	6	10	6	8	3	800	556	356	8	8	9	32	11	15	9	11	5
RC-T1-3_k127_387592	0	1	3	1	1	1	0	0	0	3	0	0	639	1	3	0	0	2	0	2	0	1	0	0
RC-T1-3_k127_739934	1	2	5	1	1	2	0	1	2	1	2	1	1224	474	80	1	2	1	6	0	1	0	5	2
RC-T1-3_k127_570765	3	3	3	1	0	1	0	0	0	0	0	2	595	313	39	0	0	2	5	1	0	0	2	1
RC-T1-3_k127_849532	199	200	100	183	100	205	142	121	158	243	255	237	633	63	73	378	402	282	162	152	115	141	369	178
RC-T1-3_k127_19291	70	88	70	86	65	119	77	95	88	95	98	85	732	94	123	152	35	46	121	89	82	90	113	63
RC-T1-3_k127_32300	58	72	42	28	54	49	29	28	50	44	70	50	1698	729	188	70	101	43	101	30	32	38	104	43
RC-T1-3_k127_542677	7	12	3	9	6	12	2	9	5	9	10	5	727	5	6	9	1	6	11	8	7	12	10	5
RC-T1-3_k127_467705	13	4	4	4	6	3	0	0	0	1	2	0	1056	448	79	0	0	2	5	2	0	2	1	2
RC-T1-3_k127_303971	0	1	7	4	13	12	6	10	4	1	2	2	759	558	277	4	3	1	48	5	12	6	1	4
RC-T1-3_k127_506943	68	82	57	52	48	64	30	44	29	71	56	82	1072	531	152	68	126	66	69	27	29	46	119	68
RC-T1-6_k127_58610	1	2	2	3	0	5	5	8	1	6	2	5	76	1066	131	3	1	2	2	2	2	1	4	3
RC-T1-9_k127_787826	6	13	10	8	1	4	1	2	1	1	2	0	413	282	741	3	4	3	7	9	5	2	15	5
